

"Alarm Records -- Current Alarms"
"Save Time: 16/07/2024 18:34:07"
"Username: jzambrano"
"Alarm status = Acknowledged and uncleared,Unacknowledged and uncleared."

" ","Severity","Alarm Source","Name","Last Occurred (NT)","MO Name","Location Information","Occurrence Times","First Occurred (NT)","Cleared On (NT)","Acknowledged On (ST)","RRU Name","Alarm ID","Cleared By","Acknowledged By","BBU Name","NE Type","Clearance Status","Acknowledgement Status","eNodeB ID","User Label","Log Serial Number"
"Root alarm","Major","L_GUA11684_GUA_DUR_5_JUN","SCTP Link Fault","16/07/2024 18:32:22","L_GUA11684_GUA_DUR_5_JUN","Link No.=73518, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51280, Peer IP Address=10.52.58.106, Service Type=X2-AP","1","16/07/2024 18:32:22","		-","		-","		-","25888","		-","		-","L_GUA11684_GUA_DUR_5_JUN","BTS3900 LTE","Uncleared","Unacknowledged","11684","		-","240790423"
"		-","Major","PI_UIO_LAMP_SOCIAL2U19","Falla de TEC-65125","16/07/2024 18:34:02","PI_UIO_LAMP_SOCIAL2U19","Cabinet No.=0, Subrack No.=40, Slot No.=0, Port No.=7, Board Type=EMU, Manager Cabinet No.=0, Manager Subrack No.=0, User Label=NULL","1","16/07/2024 18:34:02","		-","		-","		-","65125","		-","		-","		-","BTS3900 WCDMA","Uncleared","Unacknowledged","		-","		-","240790426"
"Root alarm","Major","L_GUA11678_GUA_GYE_LA_PERLA","SCTP Link Fault","16/07/2024 18:32:23","Link No.=74873","Link No.=74873, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51280, Peer IP Address=10.52.58.106, Service Type=X2-AP","1","16/07/2024 18:32:23","		-","		-","		-","25888","		-","		-","L_GUA11678_GUA_GYE_LA_PERLA","BTS3900 LTE","Uncleared","Unacknowledged","11678","		-","240790427"
"Root alarm","Major","L_GUA11685_GUA_DUR_EL_RECREO_4","SCTP Link Fault","16/07/2024 18:32:22","L_GUA11685_GUA_DUR_EL_RECREO_4","Link No.=73786, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-51280, Peer IP Address=10.52.58.106, Service Type=X2-AP","1","16/07/2024 18:32:22","		-","		-","		-","25888","		-","		-","L_GUA11685_GUA_DUR_EL_RECREO_4","BTS3900 LTE","Uncleared","Unacknowledged","11685","		-","240790428"
"Root alarm","Major","L_GUA11684_GUA_DUR_5_JUN","SCTP Link Fault","16/07/2024 18:32:20","L_GUA11684_GUA_DUR_5_JUN","Link No.=73517, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11055, Peer IP Address=10.52.27.117, Service Type=X2-AP","1","16/07/2024 18:32:20","		-","		-","		-","25888","		-","		-","L_GUA11684_GUA_DUR_5_JUN","BTS3900 LTE","Uncleared","Unacknowledged","11684","		-","240790419"
"Root alarm","Major","L_GUA11722_GUA_GYE_LOS_VERGELES_2","SCTP Link Fault","16/07/2024 18:32:20","Link No.=73683","Link No.=73683, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11088, Peer IP Address=10.52.26.253, Service Type=X2-AP","1","16/07/2024 18:32:20","		-","		-","		-","25888","		-","		-","L_GUA11722_GUA_GYE_LOS_VERGELES_2","BTS3900 LTE","Uncleared","Unacknowledged","11722","		-","240790417"
"Root alarm","Major","PIC_CHI_SAN_FRANCISCO_ALPAHUMA_UL","SCTP Link Fault","16/07/2024 18:32:20","Link No.=79745","Link No.=79745, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-44400, Peer IP Address=10.41.93.205, Service Type=X2-AP","1","16/07/2024 18:32:20","		-","		-","		-","25888","		-","		-","PIC_CHI_SAN_FRANCISCO_ALPAHUMA_UL","BTS5900","Uncleared","Unacknowledged","44417","		-","240790418"
"Root alarm","Major","L_GUA11130_BLOQUE_5","SCTP Link Fault","16/07/2024 18:32:17","Link No.=72601","Link No.=72601, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11672, Peer IP Address=10.52.28.65, Service Type=X2-AP","1","16/07/2024 18:32:17","		-","		-","		-","25888","		-","		-","L_GUA11130_BLOQUE_5","BTS3900 LTE","Uncleared","Unacknowledged","11130","		-","240790408"
"Root alarm","Major","L_GUA11684_GUA_DUR_5_JUN","SCTP Link Fault","16/07/2024 18:32:19","L_GUA11684_GUA_DUR_5_JUN","Link No.=73516, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11427, Peer IP Address=10.52.27.225, Service Type=X2-AP","1","16/07/2024 18:32:19","		-","		-","		-","25888","		-","		-","L_GUA11684_GUA_DUR_5_JUN","BTS3900 LTE","Uncleared","Unacknowledged","11684","		-","240790416"
"Root alarm","Major","L_GUA11672_GUA_GYE_AQUA_SPRINGS","SCTP Link Fault","16/07/2024 18:32:16","Link No.=71306","Link No.=71306, Description=eNB:MCC_740 MNC_02 GlobaleNBId_740-02-11130, Peer IP Address=10.52.27.9, Service Type=X2-AP","1","16/07/2024 18:32:16","		-","		-","		-","25888","		-","		-","L_GUA11672_GUA_GYE_AQUA_SPRINGS","BTS3900 LTE","Uncleared","Unacknowledged","11672","		-","240790402"
